month,ticker,name,entry,entryPx,meClose,evalPct,evalPnl,mEvalPct,mEvalPnl,rs
2017-05,011070.KS,LG이노텍,2017-05-15,133000.0,134000.0,0.75,73684,0.75,73684,97
2017-05,066570.KS,LG전자,2017-05-15,81800.0,82500.0,0.86,128362,0.86,128362,97
2017-05,095610.KQ,테스,2017-05-22,27750.0,28400.0,2.34,205580,2.34,205580,96
2017-05,020150.KS,롯데에너지머티리얼즈,2017-05-29,22025.0,21881.0,-0.65,-59068,-0.65,-59068,97
2017-06,011070.KS,LG이노텍,2017-05-15,133000.0,165000.0,24.06,2357894,23.13,2284210,97
2017-06,066570.KS,LG전자,2017-05-15,81800.0,80200.0,-1.96,-293399,-2.79,-421760,97
2017-06,095610.KQ,테스,2017-05-22,27750.0,28250.0,1.8,158139,-0.53,-47442,96
2017-06,020150.KS,롯데에너지머티리얼즈,2017-05-29,22025.0,30933.0,40.44,3654039,41.37,3713108,97
2017-06,000660.KS,SK하이닉스,2017-06-26,65000.0,67400.0,3.69,512693,3.69,512693,97
2017-07,095610.KQ,테스,2017-05-22,27750.0,29900.0,7.75,679996,5.84,521858,96
2017-07,020150.KS,롯데에너지머티리얼즈,2017-05-29,22025.0,37450.0,70.03,6327296,21.07,2673257,97
2017-07,000660.KS,SK하이닉스,2017-06-26,65000.0,66000.0,1.54,213622,-2.08,-299071,97
2017-08,020150.KS,롯데에너지머티리얼즈,2017-05-29,22025.0,40850.0,85.47,7721968,9.08,1394672,97
2017-08,103140.KS,풍산,2017-08-08,53300.0,57000.0,6.94,695776,6.94,695776,96
2017-08,000660.KS,SK하이닉스,2017-06-26,65000.0,68600.0,5.54,769039,3.94,555417,97
2017-09,000660.KS,SK하이닉스,2017-06-26,65000.0,82900.0,27.54,3823832,20.85,3054793,97
2017-11,069620.KS,대웅제약,2017-11-06,126000.0,136000.0,7.94,547687,7.94,547687,96
2017-12,003230.KS,삼양식품,2017-12-18,90400.0,96800.0,7.08,522713,7.08,522713,98
2017-12,042520.KQ,한스바이오메드,2017-12-11,26800.0,30550.0,13.99,707972,13.99,707972,97
2017-12,069620.KS,대웅제약,2017-11-06,126000.0,164500.0,30.56,2108595,20.96,1560908,96
2018-01,069620.KS,대웅제약,2017-11-06,126000.0,180500.0,43.25,2984894,9.73,876299,96
2020-03,068760.KQ,셀트리온제약,2020-03-30,50408.0,64648.0,28.25,1231427,28.25,1231427,99
2020-03,207940.KS,삼성바이오로직스,2020-03-31,661805.0,701077.0,5.93,300623,5.93,300623,97
2020-04,028300.KQ,HLB,2020-04-13,38964.0,39211.0,0.63,34180,0.63,34180,97
2020-04,068760.KQ,셀트리온제약,2020-03-30,50408.0,57124.0,13.32,580777,-11.64,-650650,99
2020-04,207940.KS,삼성바이오로직스,2020-03-31,661805.0,845075.0,27.69,1402914,20.54,1102290,97
2020-05,000990.KS,DB하이텍,2020-05-04,26050.0,28600.0,9.79,713605,9.79,713605,96
2020-05,268600.KS,셀리버리,2020-05-26,21907.0,21883.0,-0.11,-8557,-0.11,-8557,96
2020-05,068760.KQ,셀트리온제약,2020-03-30,50408.0,74197.0,47.19,2057192,29.89,1476415,99
2020-05,207940.KS,삼성바이오로직스,2020-03-31,661805.0,904710.0,36.7,1859413,7.06,456500,97
2020-05,285130.KS,SK케미칼,2020-05-18,63650.0,61316.0,-3.67,-296005,-3.67,-296005,97
2020-05,035720.KS,카카오,2020-05-25,50379.0,52888.0,4.98,540926,4.98,540926,97
2020-06,068760.KQ,셀트리온제약,2020-03-30,50408.0,102680.0,103.7,4520305,38.39,2463113,99
2020-06,091990.KS,셀트리온헬스케어,2020-06-22,99157.0,100362.0,1.22,93733,1.22,93733,96
2020-06,207940.KS,삼성바이오로직스,2020-03-31,661805.0,1127251.0,70.33,3562943,24.6,1703529,97
2020-06,285130.KS,SK케미칼,2020-05-18,63650.0,85735.0,34.7,2800886,39.82,3096891,97
2020-06,035720.KS,카카오,2020-05-25,50379.0,53691.0,6.57,714048,1.52,173122,97
2020-07,207940.KS,삼성바이오로직스,2020-03-31,661805.0,1066162.0,61.1,3095312,-5.42,-467630,97
2020-07,285130.KS,SK케미칼,2020-05-18,63650.0,179477.0,181.97,14689528,109.34,11888642,97
2020-07,035720.KS,카카오,2020-05-25,50379.0,68946.0,36.85,4002938,28.41,3288890,97
2020-08,006280.KS,녹십자,2020-08-10,279500.0,265500.0,-5.01,-310493,-5.01,-310493,96
2020-08,278280.KQ,천보,2020-08-31,167500.0,164400.0,-1.85,-145717,-1.85,-145717,96
2020-08,207940.KS,삼성바이오로직스,2020-03-31,661805.0,1131615.0,70.99,3596349,6.14,501036,97
2020-08,285130.KS,SK케미칼,2020-05-18,63650.0,262543.0,312.48,25224207,46.28,10534679,97
2020-08,095700.KQ,제넥신,2020-08-24,97544.0,130593.0,33.88,2221329,33.88,2221329,96
2020-08,009830.KS,한화솔루션,2020-08-31,43743.0,45569.0,4.17,357254,4.17,357254,96
2020-08,035720.KS,카카오,2020-05-25,50379.0,81691.0,62.15,6750686,18.49,2747748,97
2020-09,009830.KS,한화솔루션,2020-09-29,45112.0,43857.0,-2.78,-136450,-2.78,-136450,96
2020-11,009830.KS,한화솔루션,2020-11-17,55207.0,54465.0,-1.34,-93801,-1.34,-93801,98
2020-11,112610.KS,씨에스윈드,2020-11-17,55752.0,60735.0,8.94,545900,8.94,545900,98
2020-12,091990.KS,셀트리온헬스케어,2020-12-28,157207.0,153886.0,-2.11,-149489,-2.11,-149489,97
2020-12,112610.KS,씨에스윈드,2020-11-17,55752.0,88552.0,58.83,3593322,45.8,3047422,98
2020-12,307950.KS,현대오토에버,2020-12-07,92200.0,123500.0,33.95,2807619,33.95,2807619,96
2021-01,112610.KS,씨에스윈드,2020-11-17,55752.0,80047.0,43.58,2661578,-9.6,-931744,98
2021-01,268600.KS,셀리버리,2021-01-25,72525.0,72050.0,-0.65,-55299,-0.65,-55299,97
2021-01,307950.KS,현대오토에버,2020-12-07,92200.0,122500.0,32.86,2717919,-0.81,-89700,96
2021-02,307950.KS,현대오토에버,2020-12-07,92200.0,130000.0,41.0,3390671,6.12,672752,96
2021-09,120110.KS,코오롱인더,2021-09-23,106500.0,99800.0,-6.29,-703095,-6.29,-703095,98
2021-09,247540.KQ,에코프로비엠,2021-09-13,99796.0,115388.0,15.62,1421635,15.62,1421635,99
2021-09,194480.KQ,데브시스터즈,2021-09-06,84500.0,156900.0,85.68,5809991,85.68,5809991,99
2021-09,066970.KS,엘앤에프,2021-09-23,147400.0,179000.0,21.44,1723429,21.44,1723429,98
2021-10,066970.KS,엘앤에프,2021-09-23,147400.0,184100.0,24.9,2001578,2.85,278148,98
2021-11,066970.KS,엘앤에프,2021-09-23,147400.0,224300.0,52.17,4194041,21.84,2192464,98
2022-03,249420.KS,일동제약,2022-03-14,42950.0,68200.0,58.79,1837604,58.79,1837604,99
2022-03,011070.KS,LG이노텍,2022-03-21,384500.0,387000.0,0.65,80263,0.65,80263,98
2022-03,222800.KQ,심텍,2022-03-21,53100.0,56000.0,5.46,553649,5.46,553649,99
2022-03,272290.KQ,이녹스첨단소재,2022-03-29,52200.0,53700.0,2.87,385067,2.87,385067,96
