date,equity,dd,positions,cash,KOSPI,KOSDAQ
2017-01-02,100000000.0,0.0,0,100000000.0,2026.16,632.04
2017-01-06,100000000.0,0.0,0,100000000.0,2049.12,643.68
2017-01-09,100000000.0,0.0,0,100000000.0,2048.78,642.15
2017-01-13,100000000.0,0.0,0,100000000.0,2076.79,634.68
2017-01-16,100000000.0,0.0,0,100000000.0,2064.17,627.88
2017-01-20,100000000.0,0.0,0,100000000.0,2065.61,622.12
2017-01-23,100000000.0,0.0,0,100000000.0,2065.99,615.99
2017-01-27,100000000.0,0.0,0,100000000.0,2083.59,616.81
2017-01-30,100000000.0,0.0,0,100000000.0,2083.59,616.81
2017-02-03,100000000.0,0.0,0,100000000.0,2073.16,609.21
2017-02-06,100000000.0,0.0,0,100000000.0,2077.66,610.96
2017-02-10,100000000.0,0.0,0,100000000.0,2075.08,610.58
2017-02-13,100000000.0,0.0,0,100000000.0,2078.65,611.94
2017-02-17,100000000.0,0.0,0,100000000.0,2080.58,618.7
2017-02-20,100000000.0,0.0,0,100000000.0,2084.39,619.97
2017-02-24,100000000.0,0.0,0,100000000.0,2094.12,614.75
2017-02-27,100000000.0,0.0,0,100000000.0,2085.52,612.12
2017-03-03,100000000.0,0.0,0,100000000.0,2078.75,600.73
2017-03-06,100000000.0,0.0,0,100000000.0,2081.36,604.05
2017-03-10,100000000.0,0.0,0,100000000.0,2097.35,612.26
2017-03-13,100000000.0,0.0,0,100000000.0,2117.59,615.59
2017-03-17,100000000.0,0.0,0,100000000.0,2164.58,613.26
2017-03-20,100000000.0,0.0,0,100000000.0,2157.01,609.11
2017-03-24,100000000.0,0.0,0,100000000.0,2168.95,608.18
2017-03-27,100000000.0,0.0,0,100000000.0,2155.66,607.07
2017-03-31,100000000.0,0.0,0,100000000.0,2160.23,619.28
2017-04-03,100000000.0,0.0,0,100000000.0,2167.51,628.52
2017-04-07,100000000.0,0.0,0,100000000.0,2151.73,633.32
2017-04-10,100000000.0,0.0,0,100000000.0,2133.32,619.41
2017-04-14,100000000.0,0.0,0,100000000.0,2134.88,618.24
2017-04-17,100000000.0,0.0,0,100000000.0,2145.76,629.47
2017-04-21,100000000.0,0.0,0,100000000.0,2165.04,634.96
2017-04-24,100000000.0,0.0,0,100000000.0,2173.74,626.62
2017-04-28,100000000.0,0.0,0,100000000.0,2205.44,628.24
2017-05-01,100000000.0,0.0,0,100000000.0,2205.44,628.24
2017-05-05,100000000.0,0.0,0,100000000.0,2241.24,635.11
2017-05-08,100000000.0,0.0,0,100000000.0,2292.76,643.39
2017-05-12,99889975.55,-0.0011002445000000138,2,75200000.0,2286.02,643.73
2017-05-15,99853300.73,-0.0014669926999999472,2,75200000.0,2290.65,645.38
2017-05-19,99584471.91,-0.004155280900000058,3,66423301.51,2288.48,642.45
2017-05-22,99847926.07,-0.0015207393000000735,3,66423301.51,2304.03,642.62
2017-05-26,99801130.26,-0.0019886973999999613,4,57388702.06,2355.3,646.01
2017-05-29,101354857.66,0.0,4,57388702.06,2352.97,642.98
2017-06-02,101245912.41,-0.0010748892802500132,4,57388702.06,2371.72,658.78
2017-06-05,101277953.53,-0.0007587611662183136,4,57388702.06,2368.62,662.32
2017-06-09,103189939.44,0.0,5,52930297.29,2381.69,674.15
2017-06-12,100900382.33,-0.02218779391116188,4,57032029.68,2357.87,664.86
2017-06-16,104181539.9,0.0,4,57032029.68,2361.83,670.7
2017-06-19,104979895.94,0.0,4,57032029.68,2370.9,675.44
2017-06-23,104791686.34,-0.0017928156464125378,5,43146607.39,2378.6,668.93
2017-06-26,108180170.44,0.0,5,43146607.39,2388.66,668.36
2017-06-30,106032694.18,-0.01985092324467219,5,43146607.39,2391.79,669.04
2017-07-03,104676564.7,-0.03238676483638192,5,43146607.39,2394.48,660.97
2017-07-07,105672409.53,-0.023181336281873133,3,68441344.24,2379.87,663.77
2017-07-10,106761581.14,-0.013113210066412195,3,68441344.24,2382.1,657.86
2017-07-14,108239251.26,0.0,3,68441344.24,2414.63,654.11
2017-07-17,110544084.05,0.0,3,68441344.24,2425.1,659.89
2017-07-21,108380770.88,-0.019569687411056025,4,62326550.51,2450.06,676.6
2017-07-24,110106480.88,-0.003958630384979012,3,67952160.74,2451.53,677.32
2017-07-28,106103212.08,-0.04017285961672412,3,67952160.74,2400.99,652.95
2017-07-31,106869795.4,-0.03323822058481285,3,67952160.74,2402.71,650.47
2017-08-04,107052783.15,-0.03158288324521141,5,55223430.15,2395.45,641.58
2017-08-07,105889013.48,-0.042110535448414144,6,45200495.8,2398.75,648.39
2017-08-11,103835524.3,-0.06068673694890503,4,56910927.94,2319.71,628.34
2017-08-14,104538708.17,-0.054325619788786805,4,56910927.94,2334.22,629.37
2017-08-18,106538530.31,-0.036234899175502266,4,56910927.94,2358.37,643.58
