ticker,name,entry_date,entry_type,entry_price,shares,entry_rs,ca_pass,exit_date,exit_price,exit_reason,pnl_%,pnl_$,hold_days
031860.KQ,디에이치엑스컴퍼니,2017-06-12,regular,121537,36.6835,98,Y,2017-06-12,111814.04,손절(-8%),-8.0,-356672.38,0
011070.KS,LG이노텍,2017-05-15,regular,133000,73.6842,97,Y,2017-07-07,156000.0,21EMA이탈(+17%),17.29,1694736.84,53
066570.KS,LG전자,2017-05-15,regular,81800,183.3741,97,Y,2017-07-07,75256.0,손절(-8%),-8.0,-1200000.0,53
031860.KQ,디에이치엑스컴퍼니,2017-07-24,regular,101586,60.1933,97,Y,2017-07-24,93459.12,손절(-8%),-8.0,-489183.5,0
003670.KS,포스코퓨처엠,2017-08-07,regular,21197,295.267,99,Y,2017-08-10,19501.24,손절(-8%),-8.0,-500702.03,3
168330.KQ,내츄럴엔도텍,2017-08-07,regular,64000,101.093,99,Y,2017-08-08,58880.0,손절(-8%),-8.0,-517596.41,1
095610.KQ,테스,2017-05-22,regular,27750,316.2774,96,Y,2017-08-25,30250.0,RS하락(86),9.01,790693.56,95
020150.KS,롯데에너지머티리얼즈,2017-05-29,regular,22025,410.1975,97,Y,2017-09-21,37500.0,50EMA이탈(+70%),70.26,6347805.97,115
103140.KS,풍산,2017-08-08,regular,53300,188.0475,96,Y,2017-09-22,49036.0,손절(-8%),-8.0,-801834.75,45
000660.KS,SK하이닉스,2017-06-26,regular,65000,213.6219,97,Y,2017-10-18,80900.0,21EMA이탈(+24%),24.46,3396587.91,114
900100.KQ,애머릿지,2017-12-11,regular,227890,17.6049,99,Y,2017-12-11,209658.8,손절(-8%),-8.0,-320958.59,0
008770.KS,호텔신라,2017-12-04,regular,88300,123.3936,96,Y,2017-12-12,81236.0,손절(-8%),-8.0,-871652.28,8
003230.KS,삼양식품,2017-12-18,regular,90400,81.6739,98,Y,2018-01-11,83168.0,손절(-8%),-8.0,-590665.64,24
042520.KQ,한스바이오메드,2017-12-11,regular,26800,188.7925,97,Y,2018-01-18,30800.0,21EMA이탈(+15%),14.93,755170.01,38
069620.KS,대웅제약,2017-11-06,regular,126000,54.7687,96,Y,2018-02-07,160500.0,50EMA이탈(+27%),27.38,1889521.03,93
035900.KQ,JYP Ent.,2018-11-05,regular,31300,146.7518,99,Y,2018-11-07,28796.0,손절(-8%),-8.0,-367466.44,2
031430.KS,신세계인터내셔날,2018-11-05,regular,32800,171.815,99,N,2018-11-06,30176.0,손절(-8%),-8.0,-450842.56,1
039200.KQ,오스코텍,2018-11-12,regular,25680,165.4513,99,N,2018-11-29,23625.6,손절(-8%),-8.0,-339903.11,17
012450.KS,한화에어로스페이스,2019-10-07,regular,43902,246.1552,96,N,2019-10-08,40389.84,손절(-8%),-8.0,-864536.3,1
000990.KS,DB하이텍,2020-02-10,regular,28150,238.6065,99,N,2020-02-27,25898.0,손절(-8%),-8.0,-537341.89,17
096530.KQ,씨젠,2020-03-30,regular,63624,62.2172,99,N,2020-03-30,58534.08,손절(-8%),-8.0,-316680.55,0
005690.KS,파미셀,2020-03-31,regular,22300,239.4063,99,Y,2020-03-31,20516.0,손절(-8%),-8.0,-427100.92,0
285130.KS,SK케미칼,2020-03-31,regular,59380,71.0563,98,Y,2020-03-31,54629.6,손절(-8%),-8.0,-337545.66,0
003000.KS,부광약품,2020-04-06,regular,20337,151.9851,98,N,2020-04-13,18710.04,손절(-8%),-8.0,-247273.6,7
019170.KS,신풍제약,2020-04-13,regular,22500,83.7183,99,N,2020-04-13,20700.0,손절(-8%),-8.0,-150692.87,0
003090.KS,대웅,2020-04-28,regular,20000,222.8363,96,Y,2020-04-29,18400.0,손절(-8%),-8.0,-356538.02,1
028300.KQ,HLB,2020-04-13,regular,38964,138.3806,97,N,2020-05-15,40355.0,21EMA이탈(+4%),3.57,192487.46,32
000990.KS,DB하이텍,2020-05-04,regular,26050,279.8452,96,N,2020-06-12,28850.0,21EMA이탈(+11%),10.75,783566.67,39
200130.KQ,콜마비앤에이치,2020-06-08,regular,45750,158.7742,97,Y,2020-06-11,42090.0,손절(-8%),-8.0,-581113.71,3
007570.KS,일양약품,2020-06-09,regular,84243,78.3237,99,N,2020-06-12,77503.56,손절(-8%),-8.0,-527858.09,3
298380.KQ,에이비엘바이오,2020-06-22,regular,35150,138.3909,96,Y,2020-06-25,32338.0,손절(-8%),-8.0,-389155.13,3
268600.KS,셀리버리,2020-05-26,regular,21907,356.5252,96,Y,2020-06-29,23959.0,21EMA이탈(+9%),9.37,731589.65,34
005290.KQ,동진쎄미켐,2020-07-13,regular,30650,178.8152,96,N,2020-07-16,28198.0,손절(-8%),-8.0,-438454.75,3
068760.KQ,셀트리온제약,2020-03-30,regular,50408,86.4766,99,N,2020-07-29,95639.0,50EMA이탈(+90%),89.73,3911422.34,121
091990.KS,셀트리온헬스케어,2020-06-22,regular,99157,77.7864,96,N,2020-07-29,91224.44,손절(-8%),-8.0,-617045.6,37
006120.KS,SK디스커버리,2020-07-27,regular,52700,84.4962,96,N,2020-07-31,48484.0,손절(-8%),-8.0,-356235.98,4
141080.KQ,리가켐바이오,2020-08-11,regular,55200,102.7013,96,N,2020-08-18,50784.0,손절(-8%),-8.0,-453529.08,7
069080.KQ,웹젠,2020-08-18,regular,37900,242.3372,96,N,2020-08-20,34868.0,손절(-8%),-8.0,-734766.5,2
185750.KS,종근당,2020-08-24,regular,158118,39.3116,97,N,2020-08-25,145468.56,손절(-8%),-8.0,-497269.1,1
006280.KS,녹십자,2020-08-10,regular,279500,22.1781,96,N,2020-09-02,257140.0,손절(-8%),-8.0,-495902.34,23
278280.KQ,천보,2020-08-31,regular,167500,47.0056,96,Y,2020-09-04,152000.0,손절(갭-9%),-9.25,-728586.95,4
207940.KS,삼성바이오로직스,2020-03-31,regular,661805,7.6549,97,N,2020-09-04,1124343.0,RS하락(80),69.89,3540667.92,157
